ID NAP;DIRECCION;Puertos_Utilizados;Puertos_Disponibles;Latitud;Longitud
C01-R001-02;Las Heras y Gral Paz, TANDIL;0;8;-37,32092515;-59,13471018
C01-R001-03;Garibaldi y Alem, TANDIL;0;8;-37,32050753;-59,13647427
C01-R001-04;Las Heras y Alem, TANDIL;2;6;-37,31935447;-59,13718307
C01-R002-01;Garibaldi y Gral Paz, TANDIL;2;6;-37,31749501;-59,13675046
C01-R002-02;Las Heras y Gral Paz, TANDIL;2;6;-37,31859575;-59,13606282
C01-R002-03;Alem y Montevideo, TANDIL;2;6;-37,31816012;-59,13789141
C01-R002-04;Alem y Pellegrini, TANDIL;0;8;-37,31705737;-59,13862283
C01-R003-01;Uriburu y Sta Ana, TANDIL;0;8;-37,31610348;-59,13835367
C01-R003-02;Hospital, TANDIL;1;7;-37,31553891;-59,13862211
C01-R003-03;Alem y Arana, TANDIL;0;8;-37,31464343;-59,13999929
C01-R003-04;Arana y Sta Ana, TANDIL;0;8;-37,31494027;-59,1389941
C01-R004-01;Arana y Gral Paz, TANDIL;4;4;-37,31394728;-59,13889492
C01-R004-02;Machado y Alem, TANDIL;0;8;-37,31350267;-59,1406952
C01-R004-03;Machado y Alem, TANDIL;1;7;-37,31324806;-59,14089158
C01-R004-04;Machado y Gral Paz, TANDIL;0;8;-37,31271886;-59,13942817
C02-R005-01;Garibaldi y Colon, TANDIL;2;6;-37,31931242;-59,13384933
C02-R005-02;Las Heras y Colon, TANDIL;0;8;-37,32040886;-59,13315198
C02-R005-03;Garibaldi y Gral Paz, TANDIL;5;3;-37,31996925;-59,13499732
C02-R005-04;Las Heras y Gral Paz, TANDIL;4;4;-37,31880724;-59,13570938
C02-R006-01;Montevideo y Colon, TANDIL;2;6;-37,31690784;-59,13521735
C02-R006-02;Las Heras y Colon, TANDIL;3;5;-37,31812979;-59,13446867
C02-R006-03;Gral Paz y Montevideo, TANDIL;3;5;-37,31762025;-59,13647612
C02-R006-04;Gral Paz y Pellegrini, TANDIL;2;6;-37,3164935;-59,13711881
C02-R007-01;Pellegrini y Colon, TANDIL;4;4;-37,31576248;-59,1359567
C02-R007-02;Uriburu y Gral Paz, TANDIL;2;6;-37,31547479;-59,13770767
C02-R008-01;Aranay Colon, TANDIL;2;6;-37,31340681;-59,13727455
C02-R008-02;Uriburu y Colon, TANDIL;1;7;-37,31430629;-59,13673236
C02-R008-03;Arana y Gral Paz, TANDIL;0;8;-37,3140938;-59,13857149
C02-R008-04;Gral Paz y Machado, TANDIL;4;4;-37,31295375;-59,1392106
C03-R009-04;Av. Colon y Las Heras , TANDIL;4;4;-37,3180736;-59,1340636
C03-R010-01;4 de Abril y Montevideo, TANDIL;2;6;-37,31630351;-59,13363456
C04-R016-02;Av. Machado y 4 de Abril, TANDIL;1;7;-37,3120134;-59,1354918
C05-R017-04;Alsina y Las Heras, TANDIL;4;4;-37,31701197;-59,13114726
C06-R023-02;11 de Septiembre y Pellegrini, TANDIL;3;5;-37,31346835;-59,12998627
C06-R024-02;Gral Roca y Machado, TANDIL;6;2;-37,31070926;-59,13312274
C05-R025-01;Montiel y Garibaldi, TANDIL;5;3;-37,31640765;-59,12634356
C05-R025-02;Montiel y Marconi, TANDIL;3;5;-37,31761717;-59,12565039
C05-R025-03;11 de Septiembre y Garibaldi, TANDIL;0;8;-37,31704522;-59,12752123
C05-R025-04;11 de Septiembre y Las Heras, TANDIL;2;6;-37,3158929;-59,12823134
C07-R026-01;Montiel y Garibaldi, TANDIL;4;4;-37,31409609;-59,12769617
C07-R026-02;Montiel y Las Heras, TANDIL;6;2;-37,31528261;-59,12707135
C07-R026-04;Pellegrini y 11 de Septiembre, TANDIL;1;7;-37,313474;-59,1295974
C07-R027-01;Montiel y Uriburu, TANDIL;1;7;-37,31175471;-59,12918539
C07-R027-02;Montiel  y Pellegrini, TANDIL;2;6;-37,3128279;-59,128364
C07-R027-04;Arana y 11 de Septiembre, TANDIL;2;6;-37,3110048;-59,1308405
C07-R028-01;Montiel y Arana, TANDIL;5;3;-37,3106249;-59,1298049
C07-R028-02;Av Machado 1405, TANDIL;3;5;-37,3100788;-59,1315535
C08-R029-01;Moreno y Garibaldi, TANDIL;4;4;-37,3160397;-59,1249111
C08-R029-02;Moreno y Av. Marconi, TANDIL;0;8;-37,3168758;-59,1242374
C08-R029-03;Garibaldi1505, TANDIL;0;8;-37,3164222;-59,1259983
C08-R029-04;Las Heras y Montiel, TANDIL;5;3;-37,3153662;-59,1267928
C08-R030-01;Montevideo 1590, TANDIL;5;3;-37,31357;-59,1262577
C08-R030-02;Moreno 1102, TANDIL;1;7;-37,3146765;-59,1254237
C08-R030-03;Montiel y Montevideo, TANDIL;4;4;-37,3140858;-59,1275299
C08-R030-04;Pellegrini y Montiel, TANDIL;1;7;-37,3129152;-59,1282812
C08-R031-01;Moreno 1402, TANDIL;2;6;-37,3110716;-59,1275991
C08-R031-02;Moreno y Pellegrini, TANDIL;0;8;-37,3122969;-59,1268384
C08-R031-03;Uriburu y Montiel, TANDIL;7;1;-37,3116924;-59,1288728
C08-R031-04;Arana y Montiel, TANDIL;2;6;-37,310772;-59,1295927
C08-R032-01;Moreno y Arana, TANDIL;4;4;-37,3100807;-59,1283433
C08-R032-02;Av. Machado y Montiel, TANDIL;1;7;-37,3095199;-59,1301638
C09-R033-01;Saavedra y Garibaldi, TANDIL;0;8;-37,31533314;-59,12338062
C09-R033-02;Av. Marconi y Saavedra, TANDIL;2;6;-37,316474;-59,1224961
C09-R033-03;Moreno y Garibaldi, TANDIL;5;3;-37,3160539;-59,1246653
C09-R033-04;Moreno y Saavedra, TANDIL;4;4;-37,3146813;-59,1254039
C09-R034-01;Saavedra y Montevideo, TANDIL;1;7;-37,3128643;-59,1246201
C09-R034-02;Saavedra y Las Heras, TANDIL;1;7;-37,3140877;-59,1240391
C09-R034-03;Montevideo y Moreno, TANDIL;0;8;-37,3136264;-59,1260185
C09-R034-04;Pellegrini y Moreno, TANDIL;3;5;-37,3123866;-59,1266822
C09-R035-01;Saavedra 1406, TANDIL;5;3;-37,3105373;-59,1260987
C09-R035-02;Saavedra y Pellegrini, TANDIL;3;5;-37,3117885;-59,1254899
C09-R035-03;Moreno y Uriburu, TANDIL;1;7;-37,3110272;-59,1276378
C09-R035-04;Moreno y Arana, TANDIL;0;8;-37,31011525;-59,12802918
C09-R036-01;Saavedra y Machado, TANDIL;4;4;-37,3084295;-59,1273466
C09-R036-02;Saavedra 1514, TANDIL;5;3;-37,3093527;-59,1267421
C09-R036-03;Machado y Moreno, TANDIL;4;4;-37,3087396;-59,1289404
C09-R036-04;Pje Guernica y Moreno, TANDIL;4;4;-37,3081932;-59,1291669
C10-R037-01;Av. Balbin y Garibaldi, TANDIL;4;4;-37,3147363;-59,1219112
C10-R037-02;Av. Balbin y Marconi, TANDIL;1;7;-37,3160628;-59,1208883
C10-R037-03;Saavedra y Garibaldi, TANDIL;2;6;-37,31540722;-59,12308232
C10-R037-04;Saavedra y Las Heras, TANDIL;1;7;-37,3142432;-59,12373679
C10-R038-01;Av. Balbin y Montevideo, TANDIL;2;6;-37,3124944;-59,1232881
C10-R038-02;Balbín y Las Heras, TANDIL;1;7;-37,31359949;-59,1226848
C10-R038-03;Saavedra y Montevideo, TANDIL;2;6;-37,31309163;-59,1245225
C10-R038-04;Saavedra y Pellegrini, TANDIL;0;8;-37,31188125;-59,12515956
C10-R039-01;Balbín y Uriburu, TANDIL;1;7;-37,30999931;-59,12482134
C10-R039-02;Balbín y Pellegrini, TANDIL;4;4;-37,31121996;-59,12406089
C10-R039-03;Saavedra y Uriburu, TANDIL;1;7;-37,31066409;-59,12586388
C10-R039-04;Saavedra y Arana, TANDIL;1;7;-37,30949809;-59,12658718
C10-R040-01;Balbín y Machado, TANDIL;6;2;-37,30767954;-59,12612605
C10-R040-02;Balbín y Arana, TANDIL;0;8;-37,30881411;-59,12547194
C10-R040-03;Saavedra y Machado, TANDIL;3;5;-37,30837608;-59,12728566
C10-R040-04;Saavedra y Pje Guernica, TANDIL;2;6;-37,3077243;-59,12767123
C10-R041-01;Newton y Colombia, TANDIL;1;7;-37,3146437;-59,1192816
C10-R041-02;Colombia y Av. Espora, TANDIL;1;7;-37,3150433;-59,119115
C10-R041-03;Edison y Av. Balbin, TANDIL;0;8;-37,3153195;-59,1213469
